ID,Lat,Long,Isob,Redox,pH_sed,Slope,Temp,Salinity,Density,DO,Gran_aver,Gravel,Sand,LAMA (SILTE E ARGILA) TOTAL_0A2,Clay,Carbonate,Chlorof,Feopig,TOC,N,CN,C13,N15,P_org,P_inorg,P_tot,CHO,Prot,Lip,CBP
SANSED01#A06Sd01,-27.21427593,-46.94592692,400,195.5,7.97,4.058368206,11.057098,35.130829,26.820825,6.760806027,57.63227,0,0.6266707,0.3733293,0.0448404,0.3927725,0.124975248,0.87732624,0.36211485,0.0849297,4.974317877,-21.013,9.1325,3.458154,6.598649,10.056803,0.6398697,1.5584086,0.1192011,2.3174793
SANSED01#A07Sd01,-27.26196734,-46.76222014,700,197.6,7.87,2.118673086,4.71455,34.498817,27.337367,7.657922748,100.54325,0.0438089,0.5719964,0.3841947,0.0604776,0.6928589,0.094150363,1.18158705,0.6490306,0.1083701,6.987188963,-21.226,10.9655,6.55727,4.1812,10.738471,1.4910224,1.887765,0.1543151,3.5331025
SANSED01#A08Sd01,-27.29679714,-46.62516071,1000,192.9,8.06,1.605877995,3.677367,34.536305,27.499926,7.168072819,12.33682,0,0.1352714,0.8647286,0.0881295,0.2512301,0.292603864,2.6201346,0.92623495,0.14712505,7.344822936,-20.7275,10.2205,6.00021,6.333072,12.333282,2.3739074,2.0368554,0.1644213,4.5751841
SANSED01#A09Sd01,-27.32219067,-46.52241651,1300,195.3,7.95,1.61008203,3.281744,34.606043,27.608298,6.858680635,8.31901,0,0.0548676,0.9451324,0.1089857,0.2773403,0.408364787,2.32767928,1.03565535,0.15833855,7.630893266,-20.7505,8.5575,8.173095,4.319073,12.492168,2.0365276,1.5292242,0.3992832,3.9650351
SANSED01#A10Sd01,-27.39531971,-46.21770342,1900,185.48,8.21,1.081959963,3.705678,35.064192,27.903531,7.832473907,26.64153,0.0046422,0.3178205,0.6775374,0.0836046,0.4903799,0.295757322,1.2480959,0.6453839,0.13564055,5.55105301,-22.0745,6.577,6.757741,4.664207,11.421948,1.4021288,1.6085974,0.1407176,3.1514438
SANSED01#A11Sd01,-27.53797984,-45.65921265,2400,197.5,7.92,0.731141925,2.814522,35.100114,28.039473,8.786728612,10.66834,0.0063394,0.1288253,0.8648352,0.1246887,0.2347126,0.325741935,0.74377742,0.3708899,0.09775735,4.4263156,-21.627,9.0065,5.070034,2.822119,7.892153,1.6165727,1.0596496,0.1172953,2.7935176
SANSED01#B06Sd01,-26.58532995,-46.4255928,400,195.5,7.99,0.370291501,7.719682,34.727239,27.089584,7.364591901,10.28768,0,0.0894307,0.9105693,0.1108053,0.2575599,0.365539187,1.96209192,0.59468405,0.0933312,7.433720539,-21.8985,9.586,5.8771,6.427447,12.304547,1.2220832,2.3621708,0.1748786,3.7591326
SANSED01#B07Sd01,-26.75083579,-46.07434167,700,199.1,7.89,1.373178959,5.08006,34.52103,27.308817,7.646929698,12.8492,0.0008866,0.1379865,0.861127,0.085193,0.4234386,0.202031263,1.97766159,0.86665675,0.1371709,7.37109359,-21.494,8.1555,8.559069,6.033427,14.592495,1.4479007,1.5907636,0.3489459,3.3876102
SANSED01#B08Sd01,-26.79973505,-45.97823308,1000,193.1,8.05,3.301583052,4.014742,34.498394,27.427781,7.46898578,15.27337,0,0.2173526,0.7826474,0.0921521,0.2806768,0.228839568,2.39137349,0.78917645,0.1177233,7.820931441,-21.4675,8.2695,7.559482,4.626037,12.185519,2.40893,2.1494981,0.44504,5.0034682
SANSED01#B10Sd01,-26.91590541,-45.75597441,1900,195.1,7.99,2.660223007,3.703596,35.088719,27.928804,8.064444266,55.09496,0.0024777,0.5297035,0.4678188,0.0689454,0.3641548,0.200925253,1.09169387,0.5501853,0.0962769,6.667049417,-22.0255,8.196,5.193441,3.922023,9.115464,0.7803353,0.5914712,0.1838965,1.555703
SANSED01#B11Sd01,-27.11794013,-45.36350028,2400,-53.7,8.1,1.335235,2.749949,35.098288,28.055433,8.785825089,20.03931,0.0279183,0.2966248,0.6754568,0.1118734,0.6097326,0.187582898,1.35059687,0.6128621,0.1085349,6.58779603,-21.7715,5.5285,5.860375,2.785265,8.64564,1.1704372,1.7915775,0.2911082,3.253123
SANSED01#C06Sd02,-26.02910176,-45.79406642,400,195.4,7.9,0.463434011,10.326066,35.037342,26.885526,7.174994131,14.97828,0,0.1983359,0.8016641,0.0761632,0.285268,0.260279028,2.99320882,0.6569452,0.1207908,6.345152666,-21.3725,6.791,7.457197,5.112574,12.569771,0.6281741,1.1777033,0.2812429,2.0871203
SANSED01#C07Sd01,-26.19613354,-45.60975183,700,200.6,7.88,1.602491975,5.155691,34.513328,27.293906,7.672976843,8.31024,0.0021326,0.0271985,0.9706689,0.0977915,0.3460641,1.435942,7.66793028,1.0145629,0.1570635,7.536166688,-22.176,7.612,6.112916,5.243978,11.356894,1.888034,1.6532586,0.4690166,4.0103092
SANSED01#C08Sd02,-26.24245557,-45.55759331,1000,204.5,7.8,2.950272083,4.212075,34.497754,27.405643,7.473029717,21.74894,0,0.2607852,0.7392148,0.082298,0.3487072,0.563629276,4.9035747,1.0364273,0.1453392,8.319608085,-21.027,7.5275,9.146364,5.02311,14.169474,3.5962171,1.2461234,0.522478,5.3648184
SANSED01#C09Sd01,-26.28565666,-45.50997957,1300,203,7.82,2.862082005,3.38635,34.585285,27.583965,6.89683179,7.32611,0,0.0324167,0.9675833,0.1221629,0.386417,0.200541205,3.58968757,1.01405545,0.1611569,7.341073771,-21.002,8.7245,8.036333,5.566376,13.602709,2.7589927,1.17332,0.6516574,4.5839702
SANSED01#C10Sd01,-26.37745803,-45.40879987,1900,190,8.09,2.156241894,3.749667,35.085866,27.926254,8.014891604,8.72223,0.0003896,0.0778029,0.9218075,0.107222,0.4402837,0.299742744,2.39794195,0.84882275,0.12673345,7.813984456,-21.1985,9.906,8.996146,4.750305,13.74645,2.1388059,1.3009743,0.2875336,3.7273138
SANSED01#C11Sd02,-26.68409318,-45.07254088,2400,186.6,8.19,1.589323997,2.566851,35.088928,28.077716,8.784966474,42.70351,0.0431416,0.4343471,0.5225113,0.0753712,0.5844198,0.502860621,1.55886792,0.64647995,0.1083124,6.96343732,-20.889,7.568,6.857457,4.074819,10.932276,1.8603188,0.9396153,0.3373648,3.137299
SANSED01#D08Sd01,-25.68545156,-45.06301974,1000,199.7,7.91,4.123240948,4.156267,34.516486,27.425736,7.29680196,8.03854,0.0004268,0.0322012,0.967372,0.0967395,0.2847525,0.996064586,10.0384634,1.2936692,0.19340485,7.803737773,-21.234,7.7425,13.41579,3.682195,17.097985,2.6180683,2.8461872,0.919919,6.3841745
SANSED02#D06Sd02,-25.62663,-45.11400317,400,272.8,7.72,2.821155071,8.952203,34.866434,26.996557,7.199540037,17.78306,0,0.273799,0.726201,0.0934936,0.2733831,0.573181368,3.58238355,0.6191918,0.1072244,6.737183266,-21.7515,7.9625,3.977789,5.297687,9.275476,0.3716359,0.906332,0.2322164,1.5101842
