"";"Long";"Lat"
"#1";-45.40862;-23.81306
"#2";-45.40808;-23.81222
"#4";-45.40723;-23.81197
"#5";-45.40639;-23.81111
"#6";-45.40585;-23.81029
"#7";-45.40863;-23.81528
"#8";-45.40778;-23.81389
"#9";-45.40697;-23.81308
"#10";-45.40695;-23.81278
"#11";-45.40474;-23.81084
"#12";-45.40724;-23.81501
"#13";-45.40641;-23.81445
"#14";-45.40557;-23.81306
"#15";-45.40502;-23.81223
"#16";-45.40611;-23.81611
"#17";-45.40531;-23.81806
"#18";-45.40556;-23.81529
"#19";-45.40447;-23.81418
"#20";-45.40364;-23.81307
"#21";-45.40306;-23.81251
"#22";-45.40445;-23.81639
"#23";-45.40362;-23.81502
"#24";-45.40225;-23.81391
"#25";-45.40084;-23.8139
"#28";-45.40056;-23.81641
"#29";-45.39944;-23.8153
"#30";-45.39751;-23.81363
"#31";-45.40361;-23.81973
"#32";-45.40113;-23.81862
"#33";-45.39807;-23.81641
"#34";-45.40278;-23.82222
"#35";-45.40001;-23.81947
"#36";-45.39779;-23.8175
"#37";-45.39474;-23.81556
"#38";-45.40862;-23.81306
"#39";-45.40808;-23.81222
"#40";-45.40723;-23.81084
"#41";-45.40723;-23.81197
"#42";-45.40639;-23.81111
"#43";-45.40585;-23.81029
"#44";-45.40863;-23.81528
"#45";-45.40778;-23.81389
"#46";-45.40697;-23.81308
"#47";-45.40695;-23.81278
"#48";-45.40474;-23.81084
"#49";-45.40724;-23.81501
"#50";-45.40641;-23.81445
"#51";-45.40557;-23.81306
"#52";-45.40502;-23.81223
"#53";-45.40611;-23.81611
"#54";-45.40531;-23.81806
"#55";-45.40556;-23.81529
"#56";-45.40447;-23.81418
"#57";-45.40364;-23.81307
"#58";-45.40306;-23.81251
"#59";-45.40445;-23.81639
"#60";-45.40362;-23.81502
"#61";-45.40225;-23.81391
"#62";-45.40084;-23.8139
"#63";-45.40308;-23.81891
"#64";-45.40167;-23.81752
"#66";-45.39944;-23.8153
"#67";-45.39751;-23.81363
"#68";-45.40361;-23.81973
"#69";-45.40113;-23.81862
"#70";-45.39807;-23.81641
"#71";-45.40278;-23.82222
"#72";-45.40001;-23.81947
"#73";-45.39779;-23.8175
"#74";-45.39474;-23.81556
"#75";-45.40862;-23.81306
"#76";-45.40808;-23.81222
"#77";-45.40723;-23.81084
"#78";-45.40723;-23.81197
"#79";-45.40639;-23.81111
"#80";-45.40585;-23.81029
"#81";-45.40863;-23.81528
"#82";-45.40778;-23.81389
"#83";-45.40697;-23.81308
"#84";-45.40695;-23.81278
"#85";-45.40474;-23.81084
"#86";-45.40724;-23.81501
"#87";-45.40641;-23.81445
"#88";-45.40557;-23.81306
"#89";-45.40502;-23.81223
"#90";-45.40611;-23.81611
"#91";-45.40531;-23.81806
"#92";-45.40556;-23.81529
"#93";-45.40447;-23.81418
"#94";-45.40364;-23.81307
"#95";-45.40306;-23.81251
"#96";-45.40445;-23.81639
"#97";-45.40362;-23.81502
"#98";-45.40225;-23.81391
"#99";-45.40084;-23.8139
"#100";-45.40308;-23.81891
"#101";-45.40167;-23.81752
"#102";-45.40056;-23.81641
"#103";-45.39944;-23.8153
"#104";-45.39751;-23.81363
"#105";-45.40361;-23.81973
"#106";-45.40113;-23.81862
"#109";-45.40001;-23.81947
"#110";-45.39779;-23.8175
"#111";-45.39474;-23.81556
"#112";-45.40862;-23.81306
"#113";-45.40808;-23.81222
"#114";-45.40723;-23.81084
"#115";-45.40723;-23.81197
"#116";-45.40639;-23.81111
"#117";-45.40585;-23.81029
"#118";-45.40863;-23.81528
"#119";-45.40778;-23.81389
"#120";-45.40697;-23.81308
"#121";-45.40695;-23.81278
"#122";-45.40474;-23.81084
"#123";-45.40724;-23.81501
"#124";-45.40641;-23.81445
"#125";-45.40557;-23.81306
"#126";-45.40502;-23.81223
"#127";-45.40611;-23.81611
"#128";-45.40531;-23.81806
"#129";-45.40556;-23.81529
"#130";-45.40447;-23.81418
"#131";-45.40364;-23.81307
"#132";-45.40306;-23.81251
"#133";-45.40445;-23.81639
"#134";-45.40362;-23.81502
"#135";-45.40225;-23.81391
"#136";-45.40084;-23.8139
"#137";-45.40308;-23.81891
"#138";-45.40167;-23.81752
"#139";-45.40056;-23.81641
"#140";-45.39944;-23.8153
"#141";-45.39751;-23.81363
"#142";-45.40361;-23.81973
"#143";-45.40113;-23.81862
"#144";-45.39807;-23.81641
"#146";-45.40001;-23.81947
"#147";-45.39779;-23.8175
"#148";-45.39474;-23.81556
