"";"Chl";"Bat";"TOC";"FS";"VFS";"MUD";"mGS";"Sort";"CS"
"#1";80.1;0.55;0;1.303370787;19.39325843;0;1.102287629;1.606478258;79.303370783
"#2";79.1;0.59;0.08;3.720333547;77.01518067;8.381441095;3.456634818;1.000507145;10.883044686
"#4";94.7;0.71;0.59;3.53;56.11;33.39;3.989324148;1.428122027;6.97
"#5";107.4;0.23;0.88;38.40860215;19.69892473;13.03225806;2.653386092;1.263184735;28.860215051
"#6";125.2;0.37;0.9;23.2079489;23.68109771;22.99503194;3.22383245;1.767183934;30.115921454
"#7";161;0.7;0.76;9.00996396;52.34259063;3.603985584;2.349835625;1.628908237;35.043459828
"#8";201.4;0.62;0.25;4.429557044;75.76242376;16.39836016;3.667214954;1.061941703;3.409659034
"#9";78.9;0.59;0.35;8.620862086;65.63656366;18.05180518;3.674948214;1.356629452;7.690769077
"#10";80;0.8;0.23;16.18773946;23.70689655;9.458812261;1.726450659;1.973431351;50.646551718
"#11";71.3;0.16;0.34;39.94525163;45.04106128;12.02358391;3.164350696;0.786712496;2.990103179
"#12";104.2;0.36;0.34;24.02521597;39.85524165;6.584169974;2.513384761;1.428145004;29.535372402
"#13";50.8;0.07;0.56;2.4;50.55;46.16;4.852428806;1.727273458;0.89
"#14";107.4;0.18;0.05;12.65389877;56.6119471;14.95668035;3.096584785;0.984270875;15.777473776
"#15";103.8;0.07;0.09;42.14421654;35.69465003;7.972087122;2.86734899;0.87453279;14.189046312
"#16";66.8;0.17;0.12;3.474459273;86.99953981;7.340082835;3.484964528;0.46098706;2.185918085
"#17";67.6;0.06;0.23;1.294530858;54.45057702;41.96688409;4.064573756;0.559976205;2.288008028
"#18";176.2;0.13;0.11;37.45275888;56.91609977;2.380952381;3.129403769;0.549111896;3.250188964
"#19";115.3;-0.02;0.02;39.49;54.88;4.16;3.147695928;0.597262887;1.47
"#20";40.6;-0.17;0.29;5.97940206;75.50244976;16.52834717;3.56345709;1.046112115;1.98980102
"#21";155.8;0.44;0.08;2.550255026;90.4890489;5.800580058;3.566314399;0.347613274;1.160116012
"#22";151.7;0.06;0.09;1.79;95.29;2.84;3.449561391;0.314490217;0.08
"#23";99.5;-0.18;0.35;5.889668439;89.65146212;4.416035486;3.396548966;0.331962396;0.042833952
"#24";46;-0.13;0.22;17.95;69.7;10.62;3.401443742;0.898902049;1.73
"#25";31.9;-0.7;0.5;9.46;36.15;40.61;4.504804722;2.465353093;13.78
"#28";29.6;-7.37;1.8;2.54;38.53;58.27;5.859261354;2.116873745;0.66
"#29";60.4;-7.68;2.27;1.23;19.41;78.88;5.851016397;1.926794349;0.48
"#30";45.6;-6.23;2.44;1.520152015;16.00160016;81.82818282;6.848665679;1.984497655;0.650065007
"#31";38.6;-9.08;1.44;11.01889811;35.28647135;32.46675332;4.298089136;2.746746099;21.227877215
"#32";59.7;-15;2.71;13.17;17.38;59.31;5.379225578;2.673117075;10.14
"#33";34.7;-14.3;1.88;1.719484155;29.22123363;67.51974408;5.801534934;1.924975888;1.539538138
"#34";10.2;-23.02;0.98;1.350405122;7.562268681;16.50495149;0.745166781;2.648347045;74.582374709
"#35";43.4;-21.6;2.4;1.350135014;17.32173217;75.88758876;6.410276835;2.390160865;5.440544055
"#36";39.9;-20;2.14;1.04;26.23;71.97;5.738210364;1.790662042;0.76
"#37";49.6;-22;2.66;0.750075008;19.31193119;79.7779778;6.856107063;2.03447666;0.160016002
"#38";27.3;0.55;0.05;9.438662125;26.25213897;0.440001259;1.135871767;1.67881508;63.869197652
"#39";95.9;0.59;0.61;1.87154008;60.66669152;4.349905437;2.131050127;1.876883891;33.111862957
"#40";75.6;0.47;1.69;14.39949028;6.690028672;50.62121695;3.919771687;2.05438238;28.289264101
"#41";151.7;0.71;1.41;2.926383173;74.50845908;18.01554641;3.664311812;0.725109307;4.549611338
"#42";153.8;0.23;1.02;26.80709534;36.27494457;9.268292683;2.742958358;1.1083331;27.649667407
"#43";57.3;0.37;1.42;20.31849012;27.69094662;22.02890003;3.198599417;1.659533498;29.96166323
"#44";182.4;0.7;0.21;7.929612291;56.33217859;3.939931644;2.394070233;1.524373897;31.798277472
"#45";125.8;0.62;0.9;5.409422286;73.35358652;18.57521198;3.671671841;0.758876716;2.66177922
"#46";102;0.59;0.64;18.03826298;63.25539022;13.78682053;3.355353466;0.719857256;4.919526268
"#47";129.1;0.8;0.73;4.617405247;36.28669924;48.00033962;4.863640295;2.449537818;11.095555892
"#48";50.6;0.16;1.36;24.32068269;62.87895801;9.431843701;3.340789006;0.747763579;3.368515607
"#49";106.7;0.36;0;22.06673843;51.6146394;9.526372443;2.982187366;1.184773946;16.792249731
"#50";63.9;0.07;0.79;4.220779221;67.17827627;27.09563164;3.783617743;0.783334835;1.505312869
"#51";108.1;0.18;0.24;7.251264755;71.66947723;11.37075404;3.421323584;0.726462866;9.708503975
"#52";102.7;0.07;0.23;24.38423645;55.14504652;10.56376574;3.114391945;0.893403862;9.906951287
"#53";65.6;0.17;0.09;2.555816686;88.95417156;7.726204465;3.573102425;0.464749719;0.763807285
"#54";127;0.06;0.15;4.247415063;84.09357312;10.57577845;3.48769148;0.896915213;1.083233371
"#55";96.1;0.13;0.04;25.27000101;69.13008149;2.529996117;3.168626135;0.463899684;3.069921382
"#56";79.3;-0.02;0.26;32.86473369;56.19011757;8.957784193;3.194109789;0.84631237;1.987364546
"#57";53.1;-0.17;0.23;7.319268382;67.50452477;24.76092921;3.84561381;0.940062479;0.415277638
"#58";180.6;0.44;0.2;3.822647365;87.39755078;7.801386165;3.459622089;0.527920972;0.978415695
"#59";233.6;0.06;0.12;1.729734405;95.83809686;2.270006135;3.358564946;0.271005818;0.1621626
"#60";81.4;-0.18;0.24;2.74832051;93.35424185;3.720126643;3.44173023;0.307909274;0.177311
"#61";46.8;-0.13;0.17;14.23936785;42.10411752;43.24850981;3.639704432;1.047195411;0.40800481
"#62";85.5;-0.7;0.39;11.02841388;52.59924858;0.829988143;1.95226322;1.814089855;35.542349398
"#63";16.9;-7.4;1.03;2.933861428;26.17137751;46.75708294;3.711999843;2.464233243;24.137678112
"#64";20;-7.24;0.94;4;89.46666667;5.4;3.465684841;0.33102229;1.133333333
"#66";39.2;-7.68;1.66;2.100665989;28.13855059;68.93089068;5.126234236;1.53117713;0.829892736
"#67";13.8;-6.23;1.79;0.321708918;27.88143954;71.36790632;5.202473086;1.51071191;0.428945224
"#68";23.5;-9.08;0.67;5.074978474;10.31634968;31.36299605;2.131196691;2.474664233;53.245675792
"#69";30.8;-15;1.62;0.728069287;25.54573541;73.47295381;5.192025278;1.434175487;0.253241491
"#70";42.9;-14.3;0.21;1.101667374;18.20505335;80.58311254;5.318451385;1.397127864;0.110166737
"#71";28.6;-23.02;1.01;4.87804878;38.65853659;0;1.591587274;1.773733709;56.463414627
"#72";19.5;-21.6;1.94;0.380889504;14.02943006;84.95486459;5.388954573;1.306258087;0.63481584
"#73";10.1;-20;1.7;0.434255402;20.07596129;78.78829381;5.280032105;1.379605963;0.701489496
"#74";26.6;-22;1.39;0.753114127;17.2086578;81.66167101;5.300744563;1.378635817;0.376557064
"#75";43.2;0.55;0.16;2.481273408;38.15543071;0;1.434193976;1.730754894;59.36329587
"#76";29.9;0.59;0.2;8.240680183;36.16742969;1.24264225;1.661442267;2.567262741;54.349247874
"#77";120.8;0.47;0.43;30.9454191;8.089668616;0;1.83319973;0.99890582;60.964912278
