Code,Campanha,Transecto,Ponto,Replica,transe.ponto,isobata
SANSED01#A06Sd01,SANSED01,A,6,Sd01,A06,400
SANSED01#A06Sd02,SANSED01,A,6,Sd02,A06,400
SANSED01#A06Sd03,SANSED01,A,6,Sd03,A06,400
SANSED01#A07Sd01,SANSED01,A,7,Sd01,A07,700
SANSED01#A08Sd01,SANSED01,A,8,Sd01,A08,1000
SANSED01#A08Sd02,SANSED01,A,8,Sd02,A08,1000
SANSED01#A08Sd03,SANSED01,A,8,Sd03,A08,1000
SANSED01#A09Sd01,SANSED01,A,9,Sd01,A09,1300
SANSED01#A09Sd02,SANSED01,A,9,Sd02,A09,1300
SANSED01#A09Sd03,SANSED01,A,9,Sd03,A09,1300
SANSED01#A10Sd01,SANSED01,A,10,Sd01,A10,1900
SANSED01#A10Sd02,SANSED01,A,10,Sd02,A10,1900
SANSED01#A10Sd03,SANSED01,A,10,Sd03,A10,1900
SANSED01#A11Sd01,SANSED01,A,11,Sd01,A11,2400
SANSED01#A11Sd02,SANSED01,A,11,Sd02,A11,2400
SANSED01#A11Sd03,SANSED01,A,11,Sd03,A11,2400
SANSED01#B06Sd01,SANSED01,B,6,Sd01,B06,400
SANSED01#B06Sd02,SANSED01,B,6,Sd02,B06,400
SANSED01#B06Sd03,SANSED01,B,6,Sd03,B06,400
SANSED01#B07Sd01,SANSED01,B,7,Sd01,B07,700
SANSED01#B07Sd02,SANSED01,B,7,Sd02,B07,700
SANSED01#B07Sd03,SANSED01,B,7,Sd03,B07,700
SANSED01#B08Sd01,SANSED01,B,8,Sd01,B08,1000
SANSED01#B08Sd02,SANSED01,B,8,Sd02,B08,1000
SANSED01#B08Sd03,SANSED01,B,8,Sd03,B08,1000
SANSED01#B09Sd01,SANSED01,B,9,Sd01,B09,1300
SANSED01#B09Sd02,SANSED01,B,9,Sd02,B09,1300
SANSED01#B09Sd03,SANSED01,B,9,Sd03,B09,1300
SANSED01#B10Sd01,SANSED01,B,10,Sd01,B10,1900
SANSED01#B10Sd02,SANSED01,B,10,Sd02,B10,1900
SANSED01#B10Sd03,SANSED01,B,10,Sd03,B10,1900
SANSED01#B11Sd01,SANSED01,B,11,Sd01,B11,2400
SANSED01#B11Sd02,SANSED01,B,11,Sd02,B11,2400
SANSED01#B11Sd03,SANSED01,B,11,Sd03,B11,2400
SANSED01#C06Sd01,SANSED01,C,6,Sd01,C06,400
SANSED01#C06Sd02,SANSED01,C,6,Sd02,C06,400
SANSED01#C06Sd03,SANSED01,C,6,Sd03,C06,400
SANSED01#C07Sd01,SANSED01,C,7,Sd01,C07,700
SANSED01#C07Sd02,SANSED01,C,7,Sd02,C07,700
SANSED01#C07Sd03,SANSED01,C,7,Sd03,C07,700
SANSED01#C08Sd01,SANSED01,C,8,Sd01,C08,1000
SANSED01#C08Sd02,SANSED01,C,8,Sd02,C08,1000
SANSED01#C08Sd03,SANSED01,C,8,Sd03,C08,1000
SANSED01#C09Sd01,SANSED01,C,9,Sd01,C09,1300
SANSED01#C09Sd02,SANSED01,C,9,Sd02,C09,1300
SANSED01#C09Sd03,SANSED01,C,9,Sd03,C09,1300
SANSED01#C10Sd01,SANSED01,C,10,Sd01,C10,1900
SANSED01#C10Sd02,SANSED01,C,10,Sd02,C10,1900
SANSED01#C10Sd03,SANSED01,C,10,Sd03,C10,1900
SANSED01#C11Sd01,SANSED01,C,11,Sd01,C11,2400
SANSED01#C11Sd02,SANSED01,C,11,Sd02,C11,2400
SANSED01#C11Sd03,SANSED01,C,11,Sd03,C11,2400
SANSED01#D08Sd01,SANSED01,D,8,Sd01,D08,1000
SANSED01#D08Sd02,SANSED01,D,8,Sd02,D08,1000
SANSED01#D08Sd03,SANSED01,D,8,Sd03,D08,1000
SANSED02#D06Sd01,SANSED02,D,6,Sd01,D06,400
SANSED02#D06Sd02,SANSED02,D,6,Sd02,D06,400
SANSED02#D06Sd03,SANSED02,D,6,Sd03,D06,400
SANSED02#D07Sd01,SANSED02,D,7,Sd01,D07,700
SANSED02#D07Sd02,SANSED02,D,7,Sd02,D07,700
SANSED02#D07Sd03,SANSED02,D,7,Sd03,D07,700
SANSED02#D09Sd01,SANSED02,D,9,Sd01,D09,1300
SANSED02#D09Sd02,SANSED02,D,9,Sd02,D09,1300
SANSED02#D09Sd03,SANSED02,D,9,Sd03,D09,1300
SANSED02#D10Sd01,SANSED02,D,10,Sd01,D10,1900
SANSED02#D10Sd02,SANSED02,D,10,Sd02,D10,1900
SANSED02#D10Sd03,SANSED02,D,10,Sd03,D10,1900
SANSED02#D11Sd01,SANSED02,D,11,Sd01,D11,2400
SANSED02#D11Sd02,SANSED02,D,11,Sd02,D11,2400
SANSED02#D11Sd03,SANSED02,D,11,Sd03,D11,2400
