id;hc.1
#1;1
#2;1
#4;1
#5;1
#6;1
#7;1
#8;1
#9;1
#10;1
#11;1
#12;1
#13;1
#14;1
#15;1
#16;1
#17;1
#18;1
#19;1
#20;1
#21;1
#22;1
#23;1
#24;1
#25;1
#28;2
#29;2
#30;2
#31;2
#32;2
#33;2
#34;2
#35;2
#36;2
#37;2
#38;1
#39;1
#40;1
#41;1
#42;1
#43;1
#44;1
#45;1
#46;1
#47;1
#48;1
#49;1
#50;1
#51;1
#52;1
#53;1
#54;1
#55;1
#56;1
#57;1
#58;1
#59;1
#60;1
#61;1
#62;1
#63;2
#64;2
#66;2
#67;2
#68;2
#69;2
#70;2
#71;2
#72;2
#73;2
#74;2
#75;1
#76;1
#77;1
#78;1
#79;1
#80;1
#81;1
#82;1
#83;1
#84;1
#85;1
#86;1
#87;1
#88;1
#89;1
#90;1
#91;1
#92;1
#93;1
#94;1
#95;1
#96;1
#97;1
#98;1
#99;1
#100;2
#101;2
#102;2
#103;2
#104;2
#105;1
#106;2
#107;2
#110;2
#111;2
#112;1
#113;1
#114;1
#115;1
#116;1
#117;1
#118;1
#119;1
#120;1
#121;1
#122;1
#123;1
#124;1
#125;1
#126;1
#127;1
#128;1
#129;1
#130;1
#131;1
#132;1
#133;1
#134;1
#135;1
#136;1
#137;2
#138;2
#139;2
#140;2
#141;2
#142;2
#143;2
#144;2
#146;2
#147;2
#148;2
